,Name,Size,Shape,Dtype
76,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamSize,1,"(1,)",float64
77,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogX,1,"(1,)",float64
78,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogY,1,"(1,)",float64
79,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height,1,"(1,)",int32
80,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp,1,"(1,)",float64
81,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAvg,1,"(1,)",float64
82,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjSigma,1,"(1,)",float64
83,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjection,1280,"(1280,)",float64
84,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageRawData,1228800,"(960, 1280)",int16
85,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageTimeStamp,1,"(1,)",int64
86,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg,1,"(1,)",float64
87,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
88,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityRMS,1,"(1,)",float64
89,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensitySigma,1,"(1,)",float64
90,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize,1,"(1,)",float64
91,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAmp,1,"(1,)",float64
92,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAvg,1,"(1,)",float64
93,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjSigma,1,"(1,)",float64
94,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection,960,"(960,)",float64
95,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/width,1,"(1,)",int32
96,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/delayTime,1,"(1,)",float64
97,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/exposureTime,1,"(1,)",float64
98,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/gain,1,"(1,)",int64
99,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/triggerMode,1,"(1,)",|S2
100,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamIntensity,1,"(1,)",float64
101,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamSize,1,"(1,)",float64
102,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX,1,"(1,)",float64
103,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY,1,"(1,)",float64
104,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/height,1,"(1,)",int32
105,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp,1,"(1,)",float64
106,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAvg,1,"(1,)",float64
107,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjSigma,1,"(1,)",float64
108,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection,1920,"(1920,)",float64
109,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData,2304000,"(1200, 1920)",int16
110,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageTimeStamp,1,"(1,)",int64
111,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityAvg,1,"(1,)",float64
112,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
113,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityRMS,1,"(1,)",float64
114,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensitySigma,1,"(1,)",float64
115,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize,1,"(1,)",float64
116,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp,1,"(1,)",float64
117,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg,1,"(1,)",float64
118,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjSigma,1,"(1,)",float64
119,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection,1200,"(1200,)",float64
120,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/width,1,"(1,)",int32
121,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/delayTime,1,"(1,)",float64
122,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/exposureTime,1,"(1,)",float64
123,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/gain,1,"(1,)",int64
124,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode,1,"(1,)",|S2
125,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamIntensity,1,"(1,)",float64
126,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamSize,1,"(1,)",float64
127,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogX,1,"(1,)",float64
128,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogY,1,"(1,)",float64
129,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/height,1,"(1,)",int32
130,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAmp,1,"(1,)",float64
131,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAvg,1,"(1,)",float64
132,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjSigma,1,"(1,)",float64
133,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjection,1920,"(1920,)",float64
134,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageRawData,2304000,"(1200, 1920)",int16
135,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageTimeStamp,1,"(1,)",int64
136,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityAvg,1,"(1,)",float64
137,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
138,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityRMS,1,"(1,)",float64
139,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensitySigma,1,"(1,)",float64
140,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/pixelSize,1,"(1,)",float64
141,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAmp,1,"(1,)",float64
142,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAvg,1,"(1,)",float64
143,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjSigma,1,"(1,)",float64
144,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjection,1200,"(1200,)",float64
145,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/width,1,"(1,)",int32
146,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/delayTime,1,"(1,)",float64
147,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/exposureTime,1,"(1,)",float64
148,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/gain,1,"(1,)",int64
149,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/triggerMode,1,"(1,)",|S2
150,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamIntensity,1,"(1,)",float64
151,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamSize,1,"(1,)",float64
152,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogX,1,"(1,)",float64
153,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogY,1,"(1,)",float64
154,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/height,1,"(1,)",int32
155,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAmp,1,"(1,)",float64
156,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAvg,1,"(1,)",float64
157,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjSigma,1,"(1,)",float64
158,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjection,1600,"(1600,)",float64
159,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageRawData,1920000,"(1200, 1600)",int16
160,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageTimeStamp,1,"(1,)",int64
161,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityAvg,1,"(1,)",float64
162,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
163,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityRMS,1,"(1,)",float64
164,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensitySigma,1,"(1,)",float64
165,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/pixelSize,1,"(1,)",float64
166,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAmp,1,"(1,)",float64
167,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAvg,1,"(1,)",float64
168,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjSigma,1,"(1,)",float64
169,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjection,1200,"(1200,)",float64
170,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/width,1,"(1,)",int32
171,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/delayTime,1,"(1,)",float64
172,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/exposureTime,1,"(1,)",float64
173,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/gain,1,"(1,)",int64
174,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/triggerMode,1,"(1,)",|S2
175,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamIntensity,1,"(1,)",float64
176,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamSize,1,"(1,)",float64
177,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogX,1,"(1,)",float64
178,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogY,1,"(1,)",float64
179,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/height,1,"(1,)",int32
180,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAmp,1,"(1,)",float64
181,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAvg,1,"(1,)",float64
182,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjSigma,1,"(1,)",float64
183,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjection,1920,"(1920,)",float64
184,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageRawData,2304000,"(1200, 1920)",int16
185,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageTimeStamp,1,"(1,)",int64
186,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityAvg,1,"(1,)",float64
187,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
188,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityRMS,1,"(1,)",float64
189,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensitySigma,1,"(1,)",float64
190,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/pixelSize,1,"(1,)",float64
191,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAmp,1,"(1,)",float64
192,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAvg,1,"(1,)",float64
193,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjSigma,1,"(1,)",float64
194,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjection,1200,"(1200,)",float64
195,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/width,1,"(1,)",int32
196,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/delayTime,1,"(1,)",float64
197,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/exposureTime,1,"(1,)",float64
198,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/gain,1,"(1,)",int64
199,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/triggerMode,1,"(1,)",|S2
200,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamIntensity,1,"(1,)",float64
201,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamSize,1,"(1,)",float64
202,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogX,1,"(1,)",float64
203,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogY,1,"(1,)",float64
204,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/height,1,"(1,)",int32
205,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAmp,1,"(1,)",float64
206,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAvg,1,"(1,)",float64
207,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjSigma,1,"(1,)",float64
208,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjection,1920,"(1920,)",float64
209,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageRawData,2304000,"(1200, 1920)",int16
210,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageTimeStamp,1,"(1,)",int64
211,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityAvg,1,"(1,)",float64
212,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
213,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityRMS,1,"(1,)",float64
214,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensitySigma,1,"(1,)",float64
215,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/pixelSize,1,"(1,)",float64
216,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAmp,1,"(1,)",float64
217,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAvg,1,"(1,)",float64
218,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjSigma,1,"(1,)",float64
219,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjection,1200,"(1200,)",float64
220,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/width,1,"(1,)",int32
221,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/delayTime,1,"(1,)",float64
222,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/exposureTime,1,"(1,)",float64
223,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/gain,1,"(1,)",int64
224,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/triggerMode,1,"(1,)",|S2
225,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamIntensity,1,"(1,)",float64
226,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamSize,1,"(1,)",float64
227,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogX,1,"(1,)",float64
228,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogY,1,"(1,)",float64
229,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/height,1,"(1,)",int32
230,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAmp,1,"(1,)",float64
231,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAvg,1,"(1,)",float64
232,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjSigma,1,"(1,)",float64
233,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjection,1600,"(1600,)",float64
234,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageRawData,1920000,"(1200, 1600)",int16
235,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageTimeStamp,1,"(1,)",int64
236,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityAvg,1,"(1,)",float64
237,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
238,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityRMS,1,"(1,)",float64
239,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensitySigma,1,"(1,)",float64
240,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/pixelSize,1,"(1,)",float64
241,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAmp,1,"(1,)",float64
242,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAvg,1,"(1,)",float64
243,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjSigma,1,"(1,)",float64
244,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjection,1200,"(1200,)",float64
245,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/width,1,"(1,)",int32
246,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/delayTime,1,"(1,)",float64
247,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/exposureTime,1,"(1,)",float64
248,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/gain,1,"(1,)",int64
249,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/triggerMode,1,"(1,)",|S2
250,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamIntensity,1,"(1,)",float64
251,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/beamSize,1,"(1,)",float64
252,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogX,1,"(1,)",float64
253,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogY,1,"(1,)",float64
254,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/height,1,"(1,)",int32
255,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAmp,1,"(1,)",float64
256,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjAvg,1,"(1,)",float64
257,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjSigma,1,"(1,)",float64
258,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjection,1600,"(1600,)",float64
259,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageRawData,1920000,"(1200, 1600)",int16
260,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageTimeStamp,1,"(1,)",int64
261,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityAvg,1,"(1,)",float64
262,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
263,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityRMS,1,"(1,)",float64
264,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensitySigma,1,"(1,)",float64
